OrderId,Name,Description,Quantity,Unit_Price,Total,GSTIN,Phoneno,Address,Date,,
116,NULL,Battery,5,10,50,NULL,NULL,25Terna,10-02-2024 01:30,,
116,NULL,Tab,4,21,84,NULL,NULL,26Terna,10-02-2024 01:30,,
117,NULL,Mouse,1,10,10,NULL,NULL,27Terna,11-02-2024 20:00,,
117,NULL,USB-C Charging Cable,3,12.99,38.97,NULL,NULL,28Terna,13-02-2024 20:00,,
118,NULL,Lightning Charging Cable,2,14.99,29.98,NULL,NULL,29Terna,13-02-2024 19:00,,
119,NULL,Apple Airpods Headphones,3,149.99,449.97,NULL,NULL,30Terna,13-02-2024 20:00,,
120,NULL,Apple Airpods Headphones,3,149.99,449.97,NULL,NULL,31Terna,13-02-2024 12:02,,
121,NULL,Lightning Charging Cable,2,14.99,29.98,NULL,NULL,32Terna,13-02-2024 12:02,,
122,NULL,Apple Airpods Headphones,2,149.99,299.98,NULL,NULL,33Terna,13-02-2024 12:02,,
123,NULL,Lightning Charging Cable,3,14.99,44.97,NULL,NULL,34Terna,13-02-2024 12:02,,
124,NULL,Lightning Charging Cable,2,14.99,29.98,NULL,NULL,35Terna,13-02-2024 12:02,,
125,NULL,Apple Airpods Headphones,2,149.99,299.98,NULL,NULL,36Terna,16-02-2024 12:02,,
126,NULL,iPhone,2,699.99,1399.98,NULL,NULL,37Terna,16-02-2024 12:02,,
127,NULL,AAA Batteries (4-pack),4,6.99,27.96,NULL,NULL,38Terna,22-02-2024 12:02,,
128,NULL,AAA Batteries (4-pack),8,6.99,55.92,NULL,NULL,39Terna,22-02-2024 12:02,,
129,NULL,Lightning Charging Cable,3,14.99,44.97,NULL,NULL,40Terna,22-02-2024 12:02,,
130,NULL,USB-C Charging Cable,4,12.99,51.96,NULL,NULL,41Terna,22-02-2024 12:02,,
131,NULL,USB-C Charging Cable,2,12.99,25.98,NULL,NULL,42Terna,22-02-2024 12:02,,
132,NULL,Lightning Charging Cable,1,14.99,14.99,NULL,NULL,43Terna,22-02-2024 12:02,,
133,NULL,Apple Airpods Headphones,2,149.99,299.98,NULL,NULL,44Terna,22-02-2024 12:02,,
134,NULL,USB-C Charging Cable,3,12.99,38.97,NULL,NULL,45Terna,22-02-2024 12:02,,
135,NULL,27in FHD Monitor,2,220,440,NULL,NULL,46Terna,23-02-2024 12:02,,
136,NULL,iPhone,2,1550,3100,NULL,NULL,47Terna,23-02-2024 12:02,,
137,NULL,USB-C Charging Cable,1,15,15,NULL,NULL,48Terna,23-02-2024 12:02,,
138,NULL,Wired Headphones,2,30,60,NULL,NULL,49Terna,23-02-2024 12:02,,
